,chittagong_bangla_speech,chittagong_banglish_speech,bangla_speech,english_speech,given_label,surrogate_top1,surrogate_top1_prob,surrogate_top2,surrogate_top2_prob,vote_count,loss,entropy,flagged_by_CL,flagged_by_loss,flagged_by_entropy,flagged_by_knn,review_action
619,এক্কাানা বেশী অই গিয়োয় খম হইলে আরেক্কানা গম ওইতো,ekkaana beshi oi giyoy khom hoile arekkana gom oito,"একটু বেশী হয়ে গেসে, কম হলে আরো ভালো লাগতো","A little more, less would have been better",approval,optimism,0.14,amusement,0.067,2,3.017,3.024,False,True,False,True,
620,ওজন হমাল্লাই ফেয়ারা বহুত উফকারি,ojon homallai feyara bohut ufokari,ওজন কমানোর জন্য পেয়ারা অত্যন্ত উপকারী,Guava is very beneficial for weight loss,sadness,approval,0.067,admiration,0.061,4,2.866,3.106,True,True,True,True,
621,রাস্তার ডাহদ্দি এক্কান ফুলোর দোহান,rastar dahoddi ekkan fulor dohan,রাস্তার পাশে একটি ফুলের দোকান,A flower shop by the side of the road,neutral,neutral,0.069,caring,0.065,2,2.674,3.094,False,False,True,True,
622,ইতে বোকা কোন বিষয়ে নো জানে ,ite boka kon bishoye no jane,এই বোকা কোন বিষয়ে জানে না,This fool knows nothing,annoyance,confusion,0.085,fear,0.079,2,3.316,3.053,False,True,False,True,
643,"কিচু মনে ন গইরগন, অনরে এক্কান হতা হয়্যুম নে ?","kicu mone no girogon, onre ekkan hota hoyium ne ?","কিছু মনে করবেন না, আপনাকে একটা কথা বলব ?","Do not mind, I will tell you something?",curiosity,caring,0.089,curiosity,0.08,2,2.53,3.068,True,False,False,True,
661,বেয়াক্কুন এক ফোয়ারিত হারাফ নো অয়,beyakkun ek foyarit haraf no oy,সবাই একসাথে খারাপ হয় না,All are not bad together,disapproval,neutral,0.085,disappointment,0.078,3,2.831,3.074,True,True,False,True,
662,আরা বেয়াক্কুন গতহালিয়া বাইরে গেইলাম,ara beyakkun gotohaliya baire geilam,আমরা সবাই গতকাল বাহিরে গিয়েছিলাম ,We all went out yesterday,neutral,neutral,0.077,sadness,0.062,2,2.562,3.099,False,False,True,True,
663,বৃষ্টি বাইরলে তাপমাত্রা কমিবার  সুখবর দিয়ে আবহাওয়া অফিস,brishti bairle tapmatra komibar sukhobor diye abohaoya office,বৃষ্টি বেড়ে তাপমাত্রা কমার সুখবর দিয়েছে আবহাওয়া অফিস,Meteorological office has given the good news that the temperature will drop due to the increase in rain,approval,admiration,0.066,neutral,0.062,4,2.869,3.092,True,True,True,True,
667,ইবা বউত বালা রান্না গরে,iba bout bala ranna gore,সে  অনেক ভালো রান্না করে,He cooks very well,admiration,neutral,0.079,approval,0.074,2,2.701,3.059,True,False,False,True,
668,হেলাাত আর জিত তাকিত্তারে,helat ar jit takittare,খেলায় হারজিত থাকতেই পারে,The game may be lost,sadness,sadness,0.076,approval,0.076,2,2.571,3.08,False,False,True,True,
669,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,onor cobiyan dehi mon bori geyui,আপনার ছবিটি দেখে মন ভরে গেলো,My heart was filled with your picture,sadness,admiration,0.075,joy,0.066,2,2.793,3.087,False,False,True,True,
675,এক্কান বিলাইর ফালনের খুব ইচ্ছা আর,ekkan bilair faloner khub iccha ar,একটি বিড়াল ছানা পালার খুব ইচ্ছা আমার,I really want to get a kitten,desire,desire,0.074,sadness,0.065,2,2.598,3.091,False,False,True,True,
677,মানুষ বউত সার্তফর,manush bout sartofor,মানুুষ অনেক স্বার্থপর হয় ,People are very selfish,anger,annoyance,0.141,admiration,0.063,2,3.109,3.027,False,True,False,True,
679,গাছ উনের মিক্কে সাইলে তার হান্না আইয়ে,gach uner mikke saile tar hanna aiye,গাছগুলোর দিকে তাকালেই তার কান্না পেয়ে যায়,Just looking at the trees brought tears to his eyes,sadness,neutral,0.07,approval,0.061,4,2.924,3.096,True,True,True,True,
682,আর শাশুড়ি বহুত ভালো ফাক গইজ্জে,ar shashuri bohut valo fak goijje,আমার শাশুড়ি অনেক ভালো রান্না করে,My mother-in-law cooks very well,neutral,admiration,0.125,approval,0.062,3,3.179,3.039,True,True,False,True,
688,আঁই একযন হারাপ মানুষ,ai ekjon harap manush,আমি একজন খারাপ মানুষ ,I am a bad person,disappointment,annoyance,0.096,disappointment,0.064,2,2.742,3.075,True,False,False,True,
695,তোমার হাজার হথার মঝত তোয়ার মনর হতা লুয়াই তাইক্কে,tomar hajar hothar mojhot toyar monor hota luyai taikke,তোমার হাজার কথার মাঝে তোমার  মনের কথা লুকিয়ে ছিল,Your heart was hidden in your thousands of words,sadness,joy,0.082,curiosity,0.062,3,2.808,3.089,False,True,True,True,
698,ফ্রথম দিকত এইল্লে ভালোনোবাসিতাম,frothom dikot eille valonobasitam,প্রথমদিকে অত ভালোবাসতাম না,I didn't like it that much at first,disapproval,love,0.133,disapproval,0.076,2,2.571,3.029,True,False,False,True,
699,বলি রাহা ভালা আসিল আই আর আর জামাইর দুই বিয়া,boli raha vala asilo ai ar ar jamair dui biya,বলে রাখা ভালো এইটা আমার এবং আমার স্বামীর ২ জনেরই দ্বিতীয় সংসার,It is good to say that this is the second family for both me and my husband,approval,neutral,0.086,love,0.073,2,2.8,3.068,True,False,False,True,
701,একদিন ফিতিবার মায়া হাডাই যাইয়্যুম বই ফরফারঅত,ekdin fitibar maya hadai jaiyum boi forfarot,একদিন হয়তো পৃথিবীর মায়া কাটিয়ে চলে যাবো পরপারে,One day maybe I will pass the magic of the world and go to the other side,optimism,neutral,0.084,sadness,0.061,4,3.189,3.083,True,True,True,True,
722,আর এক্কানউ হস্ট নো অর,ar ekkanu hosto no or,আমার একটুও কষ্ট হচ্ছে না,I am not suffering at all,sadness,disapproval,0.078,confusion,0.066,3,2.839,3.078,True,True,False,True,
729,ফোয়ার মা বাবা বিয়াত রাজি অয়,foyar ma baba biyat raji oy,ছেলের মা বাবা বিয়েতে রাজি হয়,The boy's parents agree to the marriage,approval,neutral,0.085,annoyance,0.07,3,2.991,3.077,True,True,False,True,
734,ইয়ার ফোরও রতিকান ইন্তেকাল মাইশেরে হস্ট দে,iyar foro rotikan intekal maishere hosto de,তবু প্রতিটি মৃত্যু মানুষকে কষ্ট দেয়,Yet every death hurts people,sadness,sadness,0.074,neutral,0.063,2,2.599,3.092,False,False,True,True,
737,বাবা একদিন হতাত হতাত মারে হইলো ,baba ekdin hotat hotat mare hoilo,বাবা একদিন কথায় কথায় মাকে বললেন,Father said to mother one day,neutral,sadness,0.073,approval,0.062,4,2.938,3.093,True,True,True,True,
741,মানুষ বউত সার্তফর,manush bout sartofor,মানুুষ অনেক স্বার্থপর হয় ,People are very selfish,anger,annoyance,0.141,admiration,0.063,2,3.109,3.027,False,True,False,True,
744,আঁই বিজ্ঞান অত মাস্টার্স ডিগ্রি লইয়িগইরগি,ai biggan ot mastars digri loiyigoirgi,আমি বিজ্ঞানে মাস্টার্স ডিগ্রি অর্জন করেছি,I have a master's degree in science,approval,approval,0.066,neutral,0.059,2,2.721,3.107,False,False,True,True,
747,সোহাগ নামর ওজ্ঞা ফোয়া আচিল,sohag namor ogga foya acilo,সোহাগ নামক একটি ছেলে ছিল,Had a son named Sohag,amusement,admiration,0.078,neutral,0.072,4,3.282,3.09,True,True,True,True,
754,তুই খেলাত জিত্তো,tui khelat jitto,তুমি খেলায় জিতলে,You win the game,admiration,approval,0.115,curiosity,0.077,3,3.174,3.049,True,True,False,True,
759,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,onor sundor sundor cobigin deki anondo paiyi,আপনার সুন্দর সুন্দর ছবিগুলো দেখে আনন্দ পেয়েছি,I enjoyed seeing your beautiful pictures,joy,admiration,0.26,joy,0.096,2,2.346,2.794,True,False,False,True,
763,ইনে এহলা এহলা বাইরত ঘুরিত যান,ine ehla ehla bairot ghurit jan,আপনি একা একা বাহিরে ঘুরতে যান,You go out for a walk alone,caring,sadness,0.09,neutral,0.078,2,2.609,3.065,True,False,False,True,
766,এইবার কুরবানিত লাল গরু কিন্নোম,eibar kurbanit lal goru kinnom,এইবার কুরবানিতে লাল গরু কিনবো ,This time I will buy a red cow for sacrifice,neutral,curiosity,0.06,caring,0.059,3,2.924,3.099,False,True,True,True,
772,সময় লাইজ্ঞে যিন আই তাত্তুন সাইয়ি ঠিক বাইর গরি ফেইল্লি,somoy laigge jin ai tattun saiyi thik bair gori feilli,সময় লেগেছে কিন্তু আমি যা তার থেকে চাই সেটা কিন্তু ঠিক বের করে এনেছি,It took time but I got exactly what I wanted out of him,desire,desire,0.07,sadness,0.065,2,2.656,3.093,False,False,True,True,
774,অনর লাই শুভকামনা,onor lai shuvokamona,আপনার জন্য শুভকামনা রইল,Best wishes to you,caring,excitement,0.065,approval,0.055,4,2.913,3.107,True,True,True,True,
784,কিচু ফাইতো অইলে কিচু চাইরতো অই,kicu faito oile kicu cairto oi,কিছু পাইতে হলে কিছু ছাড়তে হবে,"To get something, you have to give up something",neutral,optimism,0.073,caring,0.071,2,3.027,3.075,False,True,False,True,
787,ফেসবুক অত ইতার একজন অর ফোয়ারে সম্ফর্ক অয়,facebook oto itar ekjon or foyare somforko oy,ফেসবুকে তার একজনের সাথে সম্পর্ক হয়,He has a relationship with someone on Facebook,neutral,annoyance,0.092,approval,0.056,3,2.921,3.084,False,True,True,True,
799,আঁর বয়স বেশি ন,ar boyos beshi no,আমার বয়স বেশি না,I am not old,neutral,disapproval,0.083,approval,0.076,2,2.903,3.077,False,True,False,True,
